output_area,All household spaces,Occupied household spaces,Unoccupied household spaces,Unoccupied household spaces: Second residence/holiday accommodation,Unoccupied household spaces: Vacant
S00089425,71,65,6,1,5
S00089426,74,66,8,5,3
S00089427,30,30,0,0,0
S00089428,43,43,0,0,0
S00089429,58,53,5,2,3
S00089430,69,66,3,1,2
S00089431,37,33,4,0,4
S00089432,30,26,4,0,4
S00089433,56,48,8,3,5
S00089434,28,27,1,0,1
S00089435,49,48,1,0,1
S00089436,48,48,0,0,0
S00089437,57,55,2,0,2
S00089438,54,54,0,0,0
S00089439,46,44,2,0,2
S00089440,23,22,1,0,1
S00089441,48,44,4,3,1
S00089442,67,61,6,3,3
S00089443,40,36,4,3,1
S00089444,85,75,10,8,2
S00089445,82,72,10,2,8
S00089446,50,50,0,0,0
S00089447,62,47,15,14,1
S00089448,66,52,14,13,1
S00089449,82,80,2,0,2
S00089450,44,43,1,0,1
S00089451,64,61,3,1,2
S00089452,78,76,2,0,2
S00089453,82,78,4,3,1
S00089454,47,47,0,0,0
S00089455,68,66,2,0,2
S00089456,82,77,5,0,5
S00089457,56,54,2,0,2
S00089458,46,46,0,0,0
S00089459,39,39,0,0,0
S00089460,80,75,5,0,5
S00089461,81,76,5,0,5
S00089462,63,57,6,0,6
S00089463,73,70,3,0,3
S00089464,70,67,3,0,3
S00089465,60,57,3,2,1
S00089466,39,33,6,6,0
S00089467,50,49,1,0,1
S00089468,50,41,9,9,0
S00089469,50,50,0,0,0
S00089470,50,41,9,9,0
S00089471,44,42,2,1,1
S00089472,46,46,0,0,0
S00089473,62,59,3,1,2
S00089474,107,94,13,9,4
S00089475,47,43,4,2,2
S00089476,38,37,1,0,1
S00089477,61,58,3,0,3
S00089478,56,54,2,2,0
S00089479,46,42,4,4,0
S00089480,44,40,4,3,1
S00089481,63,61,2,0,2
S00089482,48,48,0,0,0
S00089483,46,46,0,0,0
S00089484,70,63,7,3,4
S00089485,44,42,2,0,2
S00089486,76,72,4,0,4
S00089487,60,55,5,1,4
S00089488,67,63,4,1,3
S00089489,79,79,0,0,0
S00089490,82,79,3,0,3
S00089491,46,46,0,0,0
S00089492,52,51,1,1,0
S00089493,40,40,0,0,0
S00089494,56,51,5,5,0
S00089495,44,43,1,0,1
S00089496,48,48,0,0,0
S00089497,73,70,3,0,3
S00089498,66,57,9,8,1
S00089499,42,36,6,6,0
S00089500,49,46,3,0,3
S00089501,80,68,12,12,0
S00089502,66,65,1,1,0
S00089503,56,56,0,0,0
S00089504,58,52,6,4,2
