output_area,All people in households,Up to 0.5 persons per room,Over 0.5 and up to 1.0 persons per room,Over 1.0 and up to 1.5 persons per room,Over 1.5 persons per room
S00116966,57,46,11,0,0
S00116967,85,30,39,16,0
S00116968,86,61,25,0,0
S00116969,59,42,17,0,0
S00116970,133,77,56,0,0
S00116971,128,78,50,0,0
S00116972,88,35,47,0,6
S00116973,147,63,84,0,0
S00116974,103,49,54,0,0
S00116975,51,25,26,0,0
S00116976,104,42,49,4,9
S00116977,93,46,42,5,0
S00116978,74,53,17,4,0
S00116979,121,44,70,5,2
S00116980,176,73,103,0,0
S00116981,66,24,42,0,0
S00116982,97,15,54,13,15
S00116983,69,17,41,11,0
S00116984,99,28,60,11,0
S00116985,100,21,59,11,9
S00116986,127,28,67,19,13
S00116987,101,24,50,16,11
S00116988,88,30,42,11,5
S00116989,106,23,65,6,12
S00116990,83,45,27,6,5
S00116991,65,38,23,4,0
S00116992,134,86,48,0,0
S00116993,82,53,24,5,0
S00116994,63,33,30,0,0
S00116995,104,49,50,5,0
S00116996,180,79,93,8,0
S00116997,90,45,45,0,0
S00116998,108,50,33,25,0
S00116999,140,65,75,0,0
S00117000,83,33,50,0,0
S00117001,136,55,75,6,0
S00117002,70,34,25,6,5
S00117003,135,60,71,0,4
S00117004,132,49,74,9,0
S00117005,104,41,42,9,12
S00117006,83,38,45,0,0
S00117007,109,55,46,8,0
S00117008,86,46,29,9,2
S00117009,68,32,29,7,0
S00117010,105,54,37,3,11
S00117011,87,40,38,5,4
S00117012,136,67,59,10,0
S00117013,90,64,18,3,5
S00117014,155,87,56,12,0
S00117015,118,51,47,14,6
S00117016,91,29,41,21,0
S00117017,110,38,39,27,6
S00117018,79,28,44,3,4
S00117019,115,41,67,5,2
S00117020,84,32,52,0,0
S00117021,122,59,58,5,0
S00117022,61,39,19,3,0
S00117023,113,55,53,5,0
S00117024,62,19,36,0,7
S00117025,71,33,38,0,0
S00117026,59,29,30,0,0
S00117027,146,37,109,0,0
S00117028,109,36,67,6,0
S00117029,110,52,54,0,4
S00117030,74,54,18,0,2
S00117031,60,47,13,0,0
S00117032,106,68,38,0,0
S00117033,65,24,31,10,0
S00117034,145,48,86,7,4
S00117035,81,39,37,5,0
S00117036,104,24,63,17,0
S00117037,67,25,32,0,10
S00117038,202,73,119,6,4
S00117039,129,39,88,0,2
S00117040,107,47,57,3,0
S00117041,213,98,106,9,0
S00117042,151,55,87,4,5
S00117043,144,36,101,7,0
S00117044,161,56,100,0,5
S00117045,131,88,33,10,0
S00117046,113,71,34,6,2
S00117047,130,68,54,8,0
S00117048,69,52,17,0,0
S00117049,76,30,43,3,0
S00117050,119,55,59,5,0
S00117051,83,50,30,0,3
S00117052,75,22,42,6,5
S00117053,124,55,69,0,0
S00117054,99,37,57,5,0
S00117055,166,48,110,8,0
S00117056,163,56,107,0,0
S00117057,146,76,56,14,0
S00117058,245,29,114,76,26
S00117059,75,23,45,3,4
S00117060,82,35,31,0,16
S00117061,124,43,48,19,14
S00117062,90,38,38,14,0
S00117063,66,39,20,7,0
S00117064,83,53,25,5,0
S00117065,87,26,43,9,9
S00117066,88,52,30,6,0
S00117067,68,36,28,4,0
S00117068,73,42,31,0,0
S00117069,136,69,49,11,7
S00117070,54,29,18,5,2
S00117071,90,19,45,26,0
S00117072,164,88,62,14,0
S00117073,86,41,42,3,0
S00117074,68,37,19,12,0
S00117075,125,51,69,5,0
S00117076,75,39,32,0,4
S00117077,70,49,21,0,0
S00117078,55,45,7,3,0
S00117079,220,71,140,4,5
S00117080,140,64,57,17,2
S00117081,104,33,58,3,10
S00117082,72,43,23,6,0
S00117083,58,34,21,3,0
S00117084,118,29,75,14,0
S00117085,86,52,34,0,0
S00117086,100,41,59,0,0
S00117087,91,29,62,0,0
S00117088,62,29,24,9,0
S00117089,176,104,60,8,4
S00117090,105,50,55,0,0
S00117091,55,28,27,0,0
S00117092,106,57,49,0,0
S00117093,139,29,86,24,0
S00117094,112,74,24,9,5
S00117095,157,70,76,11,0
S00117096,166,44,111,7,4
S00117097,137,71,66,0,0
S00117098,102,60,39,3,0
S00117099,105,59,36,0,10
S00117100,77,50,23,4,0
S00117101,84,69,15,0,0
S00117102,133,90,43,0,0
S00117103,107,51,52,4,0
S00117104,154,46,74,29,5
S00117105,143,61,71,9,2
S00117106,58,35,23,0,0
S00117107,89,67,13,9,0
S00117108,59,34,25,0,0
S00117109,85,53,32,0,0
S00117110,75,26,49,0,0
S00117111,83,54,29,0,0
S00117112,181,86,78,13,4
S00117113,92,63,29,0,0
S00117114,74,40,34,0,0
S00117115,73,39,30,4,0
S00117116,130,55,69,4,2
S00117117,64,14,44,6,0
S00117118,148,69,70,9,0
S00117119,133,66,59,4,4
S00117120,113,41,62,10,0
S00117121,152,40,102,10,0
S00117122,79,37,39,3,0
S00117123,93,41,49,3,0
S00117124,65,39,22,4,0
S00117125,124,56,68,0,0
S00117126,99,40,51,8,0
S00117127,80,36,35,9,0
S00117128,103,53,50,0,0
S00117129,69,44,25,0,0
S00117130,108,62,46,0,0
S00117131,91,58,33,0,0
S00117132,88,49,31,8,0
S00117133,78,41,37,0,0
S00117134,91,57,29,5,0
S00117135,57,37,20,0,0
S00117136,107,50,48,9,0
S00117137,101,46,47,8,0
S00117138,150,59,82,4,5
S00117139,75,42,26,0,7
S00117140,84,57,27,0,0
S00117141,93,44,42,4,3
S00117142,80,48,29,3,0
S00117143,85,40,45,0,0
S00117144,67,28,39,0,0
S00117145,106,43,60,3,0
S00117146,86,26,52,8,0
S00117147,106,53,44,4,5
S00117148,85,44,41,0,0
S00117149,109,55,48,6,0
S00117150,97,46,51,0,0
S00117151,80,23,45,12,0
S00117152,66,44,17,0,5
S00117153,141,74,58,9,0
S00117154,108,45,57,6,0
S00117155,80,50,30,0,0
S00117156,115,46,45,17,7
S00117157,110,44,50,16,0
S00117158,98,35,63,0,0
S00117159,171,69,102,0,0
S00117160,138,61,77,0,0
S00117161,88,44,39,5,0
S00117162,127,49,75,3,0
S00117163,80,44,33,3,0
S00117164,82,46,36,0,0
S00117165,72,46,19,3,4
S00117166,88,62,22,0,4
S00117167,60,37,23,0,0
S00117168,53,22,27,4,0
S00117169,97,55,40,0,2
S00117170,88,54,31,3,0
S00117171,104,69,35,0,0
S00117172,82,58,24,0,0
S00117173,53,49,4,0,0
S00117174,61,40,21,0,0
S00117175,121,51,65,5,0
S00117176,70,33,26,11,0
S00117177,78,51,27,0,0
S00117178,102,43,59,0,0
S00117179,179,54,125,0,0
S00117180,107,62,45,0,0
S00117181,150,104,46,0,0
S00117182,146,89,51,6,0
S00117183,112,55,57,0,0
S00117184,121,66,46,9,0
S00117185,107,48,51,8,0
S00117186,70,21,45,4,0
S00117187,112,49,63,0,0
S00117188,99,50,40,3,6
S00117189,107,86,21,0,0
S00117190,81,39,29,8,5
S00117191,131,68,58,0,5
S00117192,118,30,61,25,2
S00117193,67,42,25,0,0
S00117194,56,34,22,0,0
S00117195,72,36,31,0,5
S00117196,109,42,60,7,0
S00117197,194,58,128,8,0
S00117198,79,34,36,9,0
S00117199,146,44,97,0,5
S00117200,125,40,74,11,0
S00117201,99,31,68,0,0
S00117202,50,21,18,5,6
S00117203,62,24,26,12,0
S00117204,66,25,41,0,0
S00117205,94,56,31,3,4
S00117206,63,28,35,0,0
S00117207,143,44,99,0,0
S00117208,107,39,55,13,0
S00117209,71,30,38,3,0
S00117210,94,56,31,3,4
S00117211,139,31,108,0,0
S00117212,155,56,88,9,2
S00117213,104,40,61,3,0
S00117214,61,33,28,0,0
S00117215,73,53,20,0,0
S00117216,106,66,35,3,2
S00117217,109,32,77,0,0
S00117218,98,26,59,13,0
S00117219,98,28,60,8,2
S00117220,141,43,98,0,0
S00117221,104,37,62,5,0
S00117222,103,43,57,3,0
S00117223,120,56,51,3,10
S00117224,127,52,62,6,7
S00117225,60,27,33,0,0
S00117226,132,52,80,0,0
S00117227,142,80,47,10,5
S00117228,175,79,91,0,5
S00117229,75,35,40,0,0
S00117230,86,47,34,5,0
S00117231,102,53,49,0,0
S00117232,123,57,63,3,0
S00117233,114,34,80,0,0
S00117234,132,74,48,5,5
S00117235,95,25,56,4,10
S00117236,129,55,55,12,7
S00117237,82,21,55,4,2
S00117238,134,44,80,10,0
S00117239,83,36,42,5,0
S00117240,102,71,31,0,0
S00117241,100,19,74,7,0
S00117242,119,33,86,0,0
S00117243,105,50,49,6,0
S00117244,137,61,58,18,0
S00117245,109,51,43,15,0
S00117246,74,26,48,0,0
S00117247,77,29,48,0,0
S00117248,102,46,46,10,0
S00117249,102,38,60,0,4
S00117250,59,39,20,0,0
S00117251,135,54,63,18,0
S00117252,72,26,36,10,0
S00117253,62,38,22,0,2
S00117254,107,72,30,5,0
S00117255,52,34,13,5,0
S00117256,50,28,10,8,4
S00117257,97,61,36,0,0
S00117258,77,45,23,7,2
S00117259,138,32,76,30,0
S00117260,123,60,48,10,5
S00117261,63,18,33,12,0
S00117262,88,32,48,4,4
S00117263,128,41,67,10,10
S00117264,139,84,41,14,0
S00117265,126,46,52,21,7
S00117266,99,39,45,15,0
S00117267,150,29,87,17,17
S00117268,111,36,54,14,7
S00117269,155,67,47,34,7
S00117270,93,16,29,32,16
S00117271,101,37,45,19,0
S00117272,111,46,35,30,0
S00117273,119,31,52,32,4
S00117274,78,41,37,0,0
S00117275,53,20,33,0,0
S00117276,50,41,9,0,0
S00117277,52,36,16,0,0
S00117278,85,45,35,0,5
S00117279,60,33,27,0,0
S00117280,63,31,27,5,0
S00117281,93,55,32,6,0
S00117282,134,61,61,8,4
S00117283,114,73,41,0,0
S00117284,96,73,13,10,0
S00117285,93,62,31,0,0
S00117286,133,50,62,17,4
S00117287,61,27,19,6,9
S00117288,81,58,23,0,0
S00117289,129,49,54,8,18
S00117290,79,44,21,10,4
S00117291,62,28,30,0,4
S00117292,87,48,25,12,2
S00117293,72,23,37,12,0
S00117294,111,61,36,14,0
S00117295,52,26,19,3,4
S00117296,95,56,30,9,0
S00117297,92,57,35,0,0
S00117298,103,71,26,0,6
S00117299,58,34,24,0,0
S00117300,115,58,45,12,0
S00117301,157,104,53,0,0
S00117302,50,25,25,0,0
S00117303,108,84,22,0,2
S00117304,132,78,47,7,0
S00117305,64,32,28,4,0
S00117306,101,54,39,0,8
S00117307,79,58,10,11,0
S00117308,131,81,46,4,0
S00117309,58,44,14,0,0
S00117310,61,32,29,0,0
S00117311,51,43,8,0,0
S00117312,116,86,30,0,0
S00117313,143,74,58,11,0
S00117314,64,16,45,3,0
S00117315,98,47,40,11,0
S00117316,71,22,45,4,0
S00117317,128,102,26,0,0
S00117318,103,35,63,5,0
S00117319,70,53,17,0,0
S00117320,68,34,24,10,0
S00117321,107,50,41,16,0
S00117322,50,26,19,0,5
S00117323,92,53,26,4,9
S00117324,71,20,51,0,0
S00117325,139,65,71,3,0
S00117326,99,69,20,10,0
S00117327,79,35,38,6,0
S00117328,50,35,15,0,0
S00117329,122,43,75,4,0
S00117330,153,67,66,7,13
S00117331,80,57,18,5,0
S00117332,61,52,9,0,0
S00117333,106,67,34,0,5
S00117334,116,66,50,0,0
S00117335,88,47,29,5,7
S00117336,140,87,43,10,0
S00117337,81,57,22,0,2
S00117338,120,26,85,0,9
S00117339,166,74,79,13,0
S00117340,69,28,41,0,0
S00117341,126,55,69,0,2
S00117342,101,80,21,0,0
S00117343,86,63,18,5,0
S00117344,100,47,48,5,0
S00117345,103,41,59,3,0
S00117346,122,81,38,3,0
S00117347,107,79,23,5,0
S00117348,106,73,33,0,0
S00117349,151,58,93,0,0
S00117350,56,43,13,0,0
S00117351,165,89,76,0,0
S00117352,131,94,37,0,0
S00117353,56,37,19,0,0
S00117354,71,37,34,0,0
S00117355,107,76,21,10,0
S00117356,160,80,60,15,5
S00117357,90,66,24,0,0
S00117358,109,77,29,3,0
S00117359,108,81,27,0,0
S00117360,65,51,14,0,0
S00117361,62,40,22,0,0
S00117362,56,28,28,0,0
S00117363,78,42,25,11,0
S00117364,139,88,43,8,0
S00117365,112,42,70,0,0
S00117366,65,23,37,0,5
S00117367,181,88,86,7,0
S00117368,93,35,58,0,0
S00117369,113,55,58,0,0
S00117370,83,30,53,0,0
S00117371,65,28,27,3,7
S00117372,134,53,72,4,5
S00117373,186,68,103,9,6
S00117374,69,23,46,0,0
S00117375,66,25,41,0,0
S00117376,139,43,93,3,0
S00117377,129,47,72,10,0
S00117378,73,29,33,6,5
S00117379,139,59,72,8,0
S00117380,216,90,126,0,0
S00117381,135,67,62,6,0
S00117382,79,29,46,4,0
S00117383,147,50,89,8,0
S00117384,53,17,31,5,0
S00117385,69,52,17,0,0
S00117386,125,44,78,3,0
S00117387,70,52,18,0,0
S00117388,84,35,42,7,0
S00117389,64,46,12,6,0
S00117390,105,68,32,5,0
S00117391,81,36,35,10,0
S00117392,127,67,54,6,0
S00117393,55,38,11,6,0
S00117394,143,42,101,0,0
S00117395,141,40,78,19,4
S00117396,84,38,36,4,6
S00117397,153,62,67,24,0
S00117398,76,33,40,3,0
S00117399,71,28,33,3,7
S00117400,131,54,63,0,14
S00117401,81,41,35,5,0
S00117402,187,68,107,7,5
S00117403,113,42,58,13,0
S00117404,58,33,25,0,0
S00117405,150,99,49,0,2
S00117406,107,72,26,9,0
S00117407,152,60,82,6,4
S00117408,61,28,22,11,0
S00117409,110,56,41,10,3
S00117410,76,38,38,0,0
S00117411,181,63,91,27,0
S00117412,110,52,34,24,0
S00117413,84,50,34,0,0
S00117414,153,46,92,6,9
S00117415,208,62,146,0,0
S00117416,238,58,151,23,6
S00117417,126,46,71,9,0
S00117418,224,62,146,16,0
S00117419,84,17,67,0,0
S00117420,139,36,89,14,0
S00117421,78,40,27,11,0
S00117422,86,52,34,0,0
S00117423,66,40,21,5,0
S00117424,77,44,25,3,5
S00117425,139,72,50,17,0
S00117426,140,54,86,0,0
S00117427,76,30,38,5,3
S00117428,66,36,26,4,0
S00117429,69,39,16,10,4
S00117430,140,87,44,5,4
S00117431,91,47,36,8,0
S00117432,127,59,57,5,6
S00117433,125,72,41,8,4
S00117434,90,42,48,0,0
S00117435,104,62,36,0,6
S00117436,117,38,54,20,5
S00117437,150,75,61,11,3
S00117438,154,56,92,4,2
S00117439,111,74,37,0,0
S00117440,232,65,115,15,37
S00117441,93,49,33,6,5
S00117442,75,59,16,0,0
S00117443,59,22,26,11,0
S00117444,145,64,81,0,0
S00117445,94,21,69,4,0
S00117446,79,46,29,0,4
S00117447,73,36,37,0,0
S00117448,103,62,30,0,11
S00117449,72,32,36,4,0
S00117450,81,33,43,5,0
S00117451,108,53,50,5,0
S00117452,65,26,30,9,0
S00117453,97,59,38,0,0
S00117454,97,60,37,0,0
S00117455,69,32,37,0,0
S00117456,115,73,42,0,0
S00117457,57,31,21,5,0
S00117458,93,56,37,0,0
S00117459,94,45,49,0,0
S00117460,78,31,43,4,0
S00117461,73,49,24,0,0
S00117462,81,65,14,0,2
S00117463,86,24,62,0,0
S00117464,121,65,56,0,0
S00117465,94,61,26,0,7
S00117466,65,44,16,5,0
S00117467,108,74,34,0,0
S00117468,107,46,54,7,0
S00117469,92,46,46,0,0
S00117470,135,79,49,5,2
S00117471,68,33,35,0,0
S00117472,119,47,72,0,0
S00117473,102,40,56,6,0
S00117474,111,49,62,0,0
S00117475,69,38,29,0,2
S00117476,69,44,18,0,7
S00117477,68,51,17,0,0
S00117478,107,39,68,0,0
S00117479,84,25,59,0,0
S00117480,109,65,44,0,0
S00117481,87,31,49,7,0
S00117482,108,79,29,0,0
S00117483,178,90,88,0,0
S00117484,149,66,55,28,0
S00117485,79,34,39,6,0
S00117486,124,50,58,5,11
S00117487,101,40,55,6,0
S00117488,142,83,51,6,2
S00117489,105,54,47,4,0
S00117490,59,27,19,8,5
S00117491,90,44,41,5,0
S00117492,116,53,57,6,0
S00117493,178,59,97,14,8
S00117494,124,36,88,0,0
S00117495,52,29,17,6,0
S00117496,139,40,92,7,0
S00117497,112,43,69,0,0
S00117498,148,66,82,0,0
S00117499,109,50,55,0,4
S00117500,164,40,100,24,0
S00117501,96,52,44,0,0
S00117502,149,38,95,16,0
S00117503,162,36,100,26,0
S00117504,71,52,19,0,0
S00117505,82,56,26,0,0
S00117506,137,51,75,11,0
S00117507,152,81,71,0,0
S00117508,220,70,141,4,5
S00117509,112,74,38,0,0
S00117510,144,85,49,0,10
S00117511,213,94,109,10,0
S00117512,127,61,66,0,0
S00117513,133,82,51,0,0
S00117514,61,14,47,0,0
S00117515,129,51,78,0,0
S00117516,169,100,64,5,0
S00117517,260,113,136,3,8
S00117518,139,58,77,4,0
S00117519,197,108,89,0,0
S00117520,154,63,91,0,0
S00117521,138,56,71,4,7
S00117522,154,57,97,0,0
S00117523,129,39,90,0,0
S00117524,125,71,54,0,0
S00117525,76,41,31,0,4
S00117526,149,68,68,13,0
S00117527,69,37,32,0,0
S00117528,60,44,12,0,4
S00117529,147,62,77,0,8
S00117530,168,62,106,0,0
S00117531,197,78,119,0,0
S00117532,82,44,38,0,0
S00117533,139,53,86,0,0
S00117534,91,27,58,6,0
S00117535,97,51,40,6,0
S00117536,97,49,44,4,0
S00117537,75,40,29,6,0
S00117538,82,47,30,0,5
S00117539,54,24,30,0,0
S00117540,127,62,65,0,0
S00117541,97,37,54,0,6
S00117542,88,66,22,0,0
S00117543,128,58,70,0,0
S00117544,174,98,74,0,2
S00117545,52,34,18,0,0
S00117546,69,44,21,4,0
S00117547,108,59,49,0,0
S00117548,61,32,25,4,0
S00117549,152,75,72,5,0
S00117550,136,67,66,3,0
S00117551,67,43,21,3,0
S00117552,64,40,21,3,0
S00117553,80,42,38,0,0
S00117554,129,77,50,0,2
S00117555,196,79,117,0,0
S00117556,108,64,44,0,0
S00117557,119,43,59,10,7
S00117558,139,54,79,6,0
S00117559,67,25,35,0,7
S00117560,121,40,49,13,19
S00117561,60,24,36,0,0
S00117562,73,41,27,5,0
S00117563,76,43,33,0,0
S00117564,143,59,73,11,0
S00117565,172,38,107,27,0
S00117566,121,42,66,6,7
S00117567,124,73,43,8,0
S00117568,71,41,30,0,0
S00117569,124,100,24,0,0
S00117570,140,55,81,0,4
S00117571,97,46,44,7,0
S00117572,80,39,36,5,0
S00117573,98,38,54,6,0
S00117574,152,70,78,4,0
S00117575,201,75,99,27,0
S00117576,72,38,34,0,0
S00117577,131,77,54,0,0
S00117578,116,45,67,0,4
S00117579,89,39,50,0,0
S00117580,137,72,60,5,0
S00117581,167,81,79,0,7
S00117582,158,56,98,4,0
S00117583,137,64,68,5,0
S00117584,151,60,87,4,0
S00117585,131,66,65,0,0
S00117586,95,28,67,0,0
S00117587,52,20,21,5,6
S00117588,106,50,39,13,4
S00117589,102,72,26,4,0
S00117590,63,27,31,0,5
S00117591,76,29,25,9,13
S00117592,64,21,10,26,7
S00117593,62,43,19,0,0
S00117594,70,27,30,13,0
S00117595,83,44,36,3,0
S00117596,101,58,38,5,0
S00117597,157,66,82,7,2
S00117598,83,40,39,4,0
S00117599,172,59,88,23,2
S00117600,128,74,54,0,0
S00117601,119,47,70,0,2
S00117602,84,45,39,0,0
S00117603,128,92,32,4,0
S00117604,62,48,14,0,0
S00117605,100,30,68,0,2
S00117606,124,50,66,8,0
S00117607,145,106,39,0,0
S00117608,99,47,45,3,4
S00117609,110,64,46,0,0
S00117610,119,79,40,0,0
S00117611,115,52,46,12,5
S00117612,84,55,24,0,5
S00117613,87,41,46,0,0
S00117614,75,27,48,0,0
S00117615,211,71,115,9,16
S00117616,333,96,200,32,5
S00117617,159,52,91,10,6
S00117618,105,70,35,0,0
S00117619,104,52,46,4,2
S00117620,73,46,25,0,2
S00117621,52,20,28,4,0
S00117622,164,80,79,5,0
S00117623,172,71,101,0,0
S00117624,209,78,117,0,14
S00117625,158,39,119,0,0
S00117626,168,59,87,13,9
S00117627,66,47,19,0,0
S00117628,125,85,32,4,4
S00117629,70,42,28,0,0
S00117630,63,40,23,0,0
S00117631,76,58,15,3,0
S00117632,106,60,40,6,0
S00117633,106,73,33,0,0
S00117634,68,46,22,0,0
S00117635,94,49,45,0,0
S00117636,86,57,25,0,4
S00117637,144,110,34,0,0
S00117638,177,115,56,6,0
S00117639,91,50,35,6,0
S00117640,88,48,40,0,0
S00117641,101,66,35,0,0
S00117642,73,17,50,6,0
S00117643,70,34,30,6,0
S00117644,102,37,40,20,5
S00117645,148,51,85,5,7
S00117646,138,42,90,6,0
S00117647,129,48,73,8,0
S00117648,107,80,27,0,0
S00117649,88,44,34,10,0
S00117650,107,77,30,0,0
S00117651,129,103,26,0,0
S00117652,188,127,61,0,0
S00117653,143,86,57,0,0
S00117654,164,109,36,19,0
S00117655,77,71,6,0,0
S00117656,103,76,27,0,0
S00117657,81,60,21,0,0
S00117658,125,72,46,0,7
S00117659,117,67,40,10,0
S00117660,201,139,46,16,0
S00117661,127,70,47,10,0
S00117662,152,109,43,0,0
S00117663,120,84,36,0,0
S00117664,82,45,32,0,5
S00117665,170,107,63,0,0
S00117666,131,80,39,12,0
S00117667,129,68,47,14,0
S00117668,164,101,63,0,0
S00117669,134,67,65,0,2
S00117670,71,53,16,0,2
S00117671,175,84,83,0,8
S00117672,164,106,58,0,0
S00117673,121,97,24,0,0
S00117674,158,82,76,0,0
S00117675,170,107,57,6,0
S00117676,159,107,52,0,0
S00117677,156,94,62,0,0
S00117678,145,100,45,0,0
S00117679,112,85,27,0,0
S00117680,104,65,39,0,0
S00117681,129,68,55,6,0
S00117682,93,52,41,0,0
S00117683,121,52,59,10,0
S00117684,149,107,42,0,0
S00117685,130,95,35,0,0
S00117686,91,35,52,0,4
S00117687,132,83,49,0,0
S00117688,113,48,65,0,0
S00117689,146,109,37,0,0
S00117690,110,85,25,0,0
S00117691,79,46,33,0,0
S00117692,134,61,73,0,0
S00117693,97,62,35,0,0
S00117694,74,53,21,0,0
S00117695,107,64,38,5,0
S00117696,123,46,72,5,0
S00117697,99,64,32,3,0
S00117698,143,114,27,0,2
S00117699,131,78,53,0,0
S00117700,93,50,36,7,0
S00117701,98,69,19,10,0
S00117702,143,83,60,0,0
S00117703,142,92,48,0,2
S00117704,129,109,20,0,0
S00117705,110,80,25,5,0
S00117706,58,51,2,5,0
S00117707,96,89,7,0,0
S00117708,190,89,96,5,0
S00117709,165,130,25,10,0
S00117710,168,131,37,0,0
S00117711,161,120,41,0,0
S00117712,96,64,32,0,0
S00117713,106,65,35,6,0
S00117714,128,78,50,0,0
S00117715,128,102,23,3,0
S00117716,170,129,41,0,0
S00117717,76,45,27,4,0
S00117718,73,57,16,0,0
S00117719,80,58,22,0,0
S00117720,128,85,43,0,0
S00117721,131,78,53,0,0
S00117722,64,40,24,0,0
S00117723,123,83,40,0,0
S00117724,127,94,33,0,0
S00117725,121,61,60,0,0
S00117726,145,76,63,6,0
S00117727,155,121,32,0,2
S00117728,72,66,6,0,0
S00117729,73,59,3,11,0
S00117730,94,61,30,3,0
S00117731,73,64,5,4,0
S00117732,103,86,17,0,0
S00117733,101,66,31,4,0
S00117734,101,74,21,6,0
S00117735,125,83,32,4,6
S00117736,163,96,58,7,2
S00117737,74,38,36,0,0
S00117738,85,56,29,0,0
S00117739,152,104,41,7,0
S00117740,125,76,49,0,0
S00117741,126,85,41,0,0
S00117742,74,52,22,0,0
S00117743,81,46,35,0,0
S00117744,158,100,58,0,0
S00117745,125,93,22,0,10
S00117746,116,59,57,0,0
S00117747,141,79,58,4,0
S00117748,164,83,81,0,0
S00117749,124,53,67,4,0
S00117750,164,78,86,0,0
S00117751,197,72,121,0,4
S00117752,174,61,107,6,0
S00117753,188,97,87,4,0
S00117754,131,60,71,0,0
S00117755,127,80,47,0,0
S00117756,120,91,29,0,0
S00117757,157,88,69,0,0
S00117758,163,85,78,0,0
S00117759,101,56,39,6,0
S00117760,205,72,113,20,0
S00117761,85,46,39,0,0
S00117762,65,52,13,0,0
S00117763,118,94,19,5,0
S00117764,173,71,94,5,3
S00117765,128,79,49,0,0
S00117766,141,71,64,6,0
S00117767,107,80,27,0,0
S00117768,154,73,74,7,0
S00117769,99,56,43,0,0
S00117770,164,101,63,0,0
S00117771,159,101,58,0,0
S00117772,88,41,47,0,0
S00117773,94,62,32,0,0
S00117774,136,109,22,0,5
S00117775,108,74,34,0,0
S00117776,104,45,55,4,0
S00117777,197,62,119,11,5
S00117778,120,83,32,5,0
S00117779,141,118,23,0,0
S00117780,65,55,10,0,0
S00117781,118,74,44,0,0
S00117782,128,90,30,8,0
S00117783,74,34,40,0,0
S00117784,167,102,65,0,0
S00117785,68,33,35,0,0
S00117786,167,112,40,15,0
S00117787,126,87,39,0,0
S00117788,114,63,45,6,0
S00117789,75,43,32,0,0
S00117790,158,62,96,0,0
S00117791,139,80,59,0,0
S00117792,118,90,28,0,0
S00117793,124,115,9,0,0
S00117794,94,55,39,0,0
S00117795,77,61,16,0,0
S00117796,59,39,20,0,0
S00117797,131,88,43,0,0
S00117798,137,86,46,0,5
S00117799,59,41,13,5,0
S00117800,147,105,42,0,0
S00117801,92,52,40,0,0
S00117802,139,92,44,3,0
S00117803,74,66,8,0,0
S00117804,208,136,53,19,0
S00117805,124,63,55,6,0
S00117806,83,45,38,0,0
S00117807,136,88,48,0,0
S00117808,133,78,51,4,0
S00117809,87,56,31,0,0
S00117810,159,91,62,6,0
S00117811,143,103,40,0,0
S00117812,124,96,28,0,0
S00117813,106,55,51,0,0
S00117814,85,50,35,0,0
S00117815,85,78,7,0,0
S00117816,181,129,52,0,0
S00117817,121,70,51,0,0
S00117818,96,38,52,6,0
S00117819,86,74,12,0,0
S00117820,126,84,42,0,0
S00117821,126,79,47,0,0
S00117822,164,118,40,6,0
S00117823,108,58,44,6,0
S00117824,113,75,33,5,0
S00117825,105,73,18,14,0
S00117826,178,121,57,0,0
S00117827,172,100,72,0,0
S00117828,73,47,26,0,0
S00117829,103,68,35,0,0
S00117830,63,47,8,8,0
S00117831,123,92,31,0,0
S00117832,76,43,27,6,0
S00117833,57,39,18,0,0
S00117834,133,62,65,6,0
S00117835,148,91,57,0,0
S00117836,176,128,41,7,0
S00117837,127,76,51,0,0
S00117838,178,119,53,6,0
S00117839,87,62,25,0,0
S00117840,150,112,38,0,0
S00117841,102,41,61,0,0
S00117842,57,34,23,0,0
S00117843,175,103,72,0,0
S00117844,155,95,60,0,0
S00117845,130,100,30,0,0
S00117846,54,30,24,0,0
S00117847,111,50,53,8,0
S00117848,73,46,27,0,0
S00117849,142,91,51,0,0
S00117850,189,108,81,0,0
S00117851,131,58,73,0,0
S00117852,103,44,59,0,0
S00117853,101,64,32,5,0
S00117854,164,111,53,0,0
S00117855,140,86,39,15,0
S00117856,141,92,49,0,0
S00117857,166,109,51,6,0
S00117858,113,69,39,5,0
S00117859,101,52,49,0,0
S00117860,86,45,41,0,0
S00117861,158,94,59,5,0
S00117862,52,34,18,0,0
S00117863,66,46,16,4,0
S00117864,98,61,33,4,0
S00117865,122,89,33,0,0
S00117866,91,42,49,0,0
S00117867,129,79,43,7,0
S00117868,157,97,60,0,0
S00117869,170,116,54,0,0
S00117870,130,72,58,0,0
S00117871,68,42,26,0,0
S00117872,189,115,74,0,0
S00117873,67,44,23,0,0
S00117874,74,64,8,0,2
S00117875,72,63,9,0,0
S00117876,86,68,18,0,0
S00117877,107,67,34,6,0
S00117878,122,71,51,0,0
S00117879,100,70,30,0,0
S00117880,91,47,39,5,0
S00117881,170,128,42,0,0
S00117882,138,117,15,6,0
S00117883,125,45,80,0,0
S00117884,80,56,24,0,0
S00117885,164,102,62,0,0
S00117886,218,106,106,6,0
S00117887,129,91,38,0,0
S00117888,85,58,27,0,0
S00117889,140,94,46,0,0
S00117890,155,108,47,0,0
S00117891,174,138,36,0,0
S00117892,103,58,45,0,0
S00117893,151,91,54,6,0
