output_area,All occupied household spaces,One room,Two rooms,Three rooms,Four rooms,Five rooms,Six rooms,Seven rooms,Eight rooms,Nine or more rooms
S00089124,39,0,1,2,2,30,1,2,1,0
S00089125,64,0,1,1,15,40,4,3,0,0
S00089126,43,0,2,1,19,18,0,1,1,1
S00089127,41,3,1,8,3,24,2,0,0,0
S00089128,39,0,0,1,7,26,3,2,0,0
S00089129,71,0,0,2,7,8,31,15,4,4
S00089130,43,0,0,4,23,9,5,2,0,0
S00089131,40,0,0,0,17,11,9,3,0,0
S00089132,41,1,3,1,8,13,10,3,2,0
S00089133,41,0,0,1,22,14,2,1,0,1
S00089134,61,0,0,3,34,18,3,2,1,0
S00089135,73,0,1,1,11,20,22,8,8,2
S00089136,52,0,0,1,8,11,14,12,3,3
S00089137,46,0,0,2,3,8,12,9,8,4
S00089138,47,0,1,38,5,1,0,0,0,2
S00089139,37,0,3,1,7,24,1,1,0,0
S00089140,45,0,0,4,7,26,5,3,0,0
S00089141,49,0,1,0,4,28,11,4,1,0
S00089142,53,0,0,2,9,37,4,0,0,1
S00089143,41,0,0,1,6,24,6,2,1,1
S00089144,44,0,1,1,18,22,2,0,0,0
S00089145,52,0,0,2,23,24,2,1,0,0
S00089146,43,0,0,3,21,15,2,1,0,1
S00089147,47,0,2,6,32,3,3,1,0,0
S00089148,44,0,0,9,13,19,2,0,1,0
S00089149,40,0,0,2,7,28,2,1,0,0
S00089150,69,1,5,12,38,8,4,0,0,1
S00089151,37,0,1,13,12,9,1,0,0,1
S00089152,42,1,3,23,15,0,0,0,0,0
S00089153,40,2,0,12,8,11,7,0,0,0
S00089154,37,0,1,7,22,6,1,0,0,0
S00089155,39,0,0,2,21,11,4,0,1,0
S00089156,49,0,2,7,24,15,1,0,0,0
