output_area,All households,Owned: Owned outright,Owned: Owned with a mortgage or loan,Owned: Shared ownership (part owned and part rented),Rented: Council (Local authority),Rented: Other social rented,Rented: Private landlord or letting agency,Rented: Other,Living rent free
S00109402,41,9,12,0,19,0,1,0,0
S00109403,48,14,17,0,9,1,6,0,1
S00109404,47,8,16,1,8,9,4,0,1
S00109405,44,7,24,1,2,7,3,0,0
S00109406,68,12,30,0,17,2,4,2,1
S00109407,45,4,4,0,1,34,1,1,0
S00109408,59,8,30,0,13,3,4,1,0
S00109409,41,8,23,0,5,1,3,1,0
S00109410,54,24,25,0,1,1,1,0,2
S00109411,43,4,26,0,0,1,8,3,1
S00109412,50,13,24,0,3,0,10,0,0
S00109413,47,9,31,0,3,0,3,1,0
S00109414,42,9,21,1,2,1,6,2,0
S00109415,42,2,23,0,1,0,16,0,0
S00109416,58,18,22,0,15,0,0,1,2
S00109417,44,9,19,0,11,2,1,0,2
S00109418,42,12,14,0,10,1,5,0,0
S00109419,54,0,9,1,26,17,0,0,1
S00109420,60,5,6,0,44,1,3,1,0
S00109421,42,6,24,0,10,0,2,0,0
S00109422,77,21,25,0,20,2,9,0,0
S00109423,37,14,11,0,12,0,0,0,0
S00109424,34,7,9,0,11,1,5,0,1
S00109425,61,17,31,0,0,6,6,1,0
S00109426,75,18,42,0,2,2,8,1,2
S00109427,64,14,35,0,4,5,6,0,0
S00109428,67,19,39,0,0,3,6,0,0
S00109429,59,19,24,0,4,9,2,1,0
S00109430,51,18,10,0,2,19,2,0,0
S00109431,61,15,16,0,13,12,3,2,0
S00109432,39,13,9,0,8,7,2,0,0
S00109433,56,23,13,0,11,1,7,0,1
S00109434,41,11,18,0,10,0,1,0,1
S00109435,48,7,17,0,10,9,5,0,0
S00109436,42,11,15,0,10,4,2,0,0
S00109437,60,5,6,0,44,1,2,0,2
S00109438,26,5,9,0,7,4,1,0,0
S00109439,49,8,6,1,21,7,6,0,0
S00109440,65,10,10,0,39,3,1,1,1
S00109441,31,10,13,0,6,1,1,0,0
S00109442,77,6,13,0,27,25,6,0,0
S00109443,28,2,7,2,2,12,3,0,0
S00109444,32,6,7,0,12,4,3,0,0
S00109445,26,4,6,0,15,0,1,0,0
S00109446,68,14,27,0,18,3,6,0,0
S00109447,22,0,2,0,1,18,1,0,0
S00109448,40,3,8,0,25,1,3,0,0
S00109449,49,10,11,0,23,0,5,0,0
S00109450,48,10,14,0,20,0,3,1,0
S00109451,39,8,7,0,22,0,2,0,0
S00109452,50,6,9,0,30,3,1,0,1
S00109453,59,3,15,0,25,11,2,2,1
S00109454,78,15,30,0,22,5,6,0,0
S00109455,58,2,8,0,46,0,1,0,1
S00109456,44,8,8,0,26,0,1,1,0
S00109457,50,9,8,1,27,1,4,0,0
S00109458,53,16,11,0,22,0,3,0,1
S00109459,47,5,6,0,29,2,4,1,0
S00109460,40,14,12,0,8,0,3,3,0
S00109461,54,15,17,0,17,0,4,1,0
S00109462,38,10,10,0,14,0,4,0,0
S00109463,51,7,5,0,29,4,3,3,0
S00109464,71,25,43,1,1,0,0,0,1
S00109465,43,18,20,0,1,0,3,1,0
S00109466,62,35,24,0,1,1,1,0,0
S00109467,33,1,5,0,21,0,6,0,0
S00109468,52,29,22,0,1,0,0,0,0
S00109469,47,23,21,0,1,0,2,0,0
S00109470,49,26,18,0,1,0,2,0,2
S00109471,54,28,21,0,0,1,4,0,0
S00109472,44,12,22,0,0,0,9,0,1
S00109473,60,26,29,0,0,0,5,0,0
S00109474,68,28,38,0,0,0,2,0,0
S00109475,67,36,28,0,0,0,3,0,0
S00109476,45,25,16,0,1,0,3,0,0
S00109477,61,15,38,0,0,1,7,0,0
S00109478,47,23,21,0,0,0,2,0,1
S00109479,49,26,20,0,0,1,0,2,0
S00109480,70,34,31,0,1,0,1,1,2
S00109481,25,8,14,0,1,1,0,0,1
S00109482,71,25,33,1,0,0,11,1,0
S00109483,34,14,18,0,0,0,1,1,0
S00109484,42,16,24,0,1,0,0,1,0
S00109485,68,32,32,2,0,0,2,0,0
S00109486,69,28,39,0,0,0,1,0,1
S00109487,46,24,21,0,0,0,1,0,0
S00109488,71,34,33,1,0,0,3,0,0
S00109489,48,17,25,0,0,2,4,0,0
S00109490,69,14,46,0,3,0,6,0,0
S00109491,40,10,18,0,3,1,8,0,0
S00109492,44,25,15,0,1,1,1,1,0
S00109493,44,25,16,0,0,0,1,0,2
S00109494,72,30,35,0,3,0,4,0,0
S00109495,38,26,11,0,0,0,1,0,0
S00109496,75,27,26,0,1,0,18,1,2
S00109497,74,6,23,0,1,0,44,0,0
S00109498,56,12,17,0,6,0,21,0,0
S00109499,55,11,17,0,6,1,17,2,1
S00109500,70,17,16,0,23,0,12,2,0
S00109501,40,8,14,0,1,3,13,1,0
S00109502,39,4,15,0,1,6,13,0,0
S00109503,45,35,5,0,1,0,3,0,1
S00109504,44,16,12,0,0,4,10,2,0
S00109505,59,12,22,0,15,0,10,0,0
S00109506,47,12,27,0,0,0,7,1,0
S00109507,57,23,21,0,0,0,10,1,2
S00109508,71,32,25,0,0,1,10,0,3
S00109509,42,9,11,0,1,12,9,0,0
S00109510,61,24,35,0,0,0,2,0,0
S00109511,67,19,46,0,0,0,0,1,1
S00109512,55,27,28,0,0,0,0,0,0
S00109513,43,18,23,0,0,0,1,0,1
S00109514,76,31,39,0,0,2,3,0,1
S00109515,69,29,34,0,0,2,2,0,2
S00109516,69,19,40,0,1,0,5,3,1
S00109517,66,31,29,0,0,0,4,0,2
S00109518,51,28,18,0,1,0,4,0,0
S00109519,50,21,26,0,0,0,2,0,1
S00109520,64,39,21,0,0,1,2,0,1
S00109521,63,45,18,0,0,0,0,0,0
S00109522,61,30,30,0,0,0,1,0,0
S00109523,58,33,23,0,0,0,1,1,0
S00109524,65,40,23,0,1,0,1,0,0
S00109525,39,23,15,0,0,0,0,0,1
S00109526,43,29,13,0,0,0,1,0,0
S00109527,51,31,19,0,0,0,0,0,1
S00109528,29,4,14,0,2,4,4,1,0
S00109529,27,5,13,0,1,0,8,0,0
S00109530,68,19,33,0,1,1,11,2,1
S00109531,50,8,7,0,29,0,6,0,0
S00109532,73,9,12,0,39,0,9,4,0
S00109533,54,16,23,0,1,1,13,0,0
S00109534,66,22,31,0,1,0,9,1,2
S00109535,56,21,33,0,1,0,1,0,0
S00109536,70,24,33,1,1,0,10,1,0
S00109537,75,13,19,1,34,3,5,0,0
S00109538,67,6,20,2,19,13,7,0,0
S00109539,60,5,15,0,0,15,24,1,0
S00109540,75,11,31,0,4,6,21,2,0
S00109541,65,1,1,0,62,1,0,0,0
S00109542,61,1,2,0,58,0,0,0,0
S00109543,56,10,25,0,0,2,14,3,2
S00109544,66,0,2,0,59,3,0,1,1
S00109545,48,11,27,0,0,0,8,2,0
S00109546,55,17,22,0,4,1,10,1,0
S00109547,40,3,24,0,2,1,9,1,0
S00109548,71,18,23,0,17,0,11,1,1
S00109549,53,10,19,0,17,1,4,1,1
S00109550,78,12,33,0,30,0,3,0,0
S00109551,30,21,8,0,0,0,0,0,1
S00109552,66,8,12,0,10,20,16,0,0
S00109553,54,18,11,0,22,0,3,0,0
S00109554,55,9,7,0,33,1,5,0,0
S00109555,49,11,9,0,28,0,0,0,1
S00109556,25,7,11,0,1,0,5,0,1
S00109557,47,14,19,1,8,0,4,1,0
S00109558,65,25,35,0,2,1,2,0,0
S00109559,48,28,19,0,0,0,1,0,0
S00109560,42,22,18,0,0,0,2,0,0
S00109561,30,10,18,0,1,0,1,0,0
S00109562,48,17,29,0,1,0,0,1,0
S00109563,56,18,33,0,0,0,4,1,0
S00109564,77,45,28,0,2,0,1,0,1
S00109565,43,21,20,0,1,0,1,0,0
S00109566,62,8,15,0,34,0,1,1,3
S00109567,64,31,26,0,2,0,4,0,1
S00109568,45,8,16,0,12,1,7,0,1
S00109569,57,12,27,1,14,0,3,0,0
S00109570,54,21,33,0,0,0,0,0,0
S00109571,48,30,17,0,0,0,1,0,0
S00109572,61,22,13,0,14,1,8,1,2
S00109573,43,7,19,0,2,1,14,0,0
S00109574,40,10,21,0,0,0,7,2,0
S00109575,32,0,1,0,5,24,1,0,1
S00109576,72,2,24,0,9,9,26,1,1
S00109577,59,18,29,0,2,0,8,1,1
S00109578,66,8,24,0,2,0,32,0,0
S00109579,51,10,20,0,1,0,18,2,0
S00109580,52,9,26,0,0,0,14,3,0
S00109581,40,5,19,0,0,1,13,2,0
S00109582,75,17,34,0,0,0,22,2,0
S00109583,52,10,26,0,0,1,15,0,0
S00109584,76,34,27,0,0,0,12,3,0
S00109585,64,19,39,0,0,1,4,1,0
S00109586,46,4,14,0,4,11,12,1,0
S00109587,53,18,20,1,10,0,3,0,1
S00109588,77,20,21,0,25,0,10,1,0
S00109589,74,20,27,0,16,0,6,2,3
S00109590,57,27,25,0,0,0,5,0,0
S00109591,67,12,50,0,1,0,3,1,0
S00109592,28,9,19,0,0,0,0,0,0
S00109593,46,11,21,0,11,0,1,1,1
S00109594,63,11,28,1,17,1,4,1,0
S00109595,46,12,9,0,17,2,5,1,0
S00109596,49,9,21,0,17,0,2,0,0
S00109597,50,6,6,2,13,20,3,0,0
S00109598,58,15,20,13,0,0,10,0,0
S00109599,65,29,27,0,3,0,4,1,1
S00109600,32,2,6,0,19,2,2,1,0
S00109601,51,5,20,0,18,1,7,0,0
S00109602,52,23,15,1,11,0,1,1,0
S00109603,57,6,13,0,22,2,13,1,0
S00109604,33,5,11,0,14,0,1,2,0
S00109605,40,9,10,0,13,1,6,1,0
S00109606,45,9,19,0,16,1,0,0,0
S00109607,54,15,30,0,7,0,2,0,0
S00109608,40,2,21,0,3,0,14,0,0
S00109609,40,2,6,0,28,1,2,1,0
S00109610,45,3,11,0,22,1,8,0,0
S00109611,58,5,9,0,34,1,9,0,0
S00109612,61,22,25,0,7,2,3,1,1
S00109613,60,8,16,0,29,0,4,3,0
S00109614,55,26,28,0,0,0,1,0,0
S00109615,51,28,22,0,0,0,0,1,0
S00109616,20,8,10,1,1,0,0,0,0
S00109617,71,41,29,0,1,0,0,0,0
S00109618,51,24,22,0,1,0,4,0,0
S00109619,51,25,22,0,1,0,2,1,0
S00109620,53,23,25,0,2,1,2,0,0
S00109621,43,12,29,0,0,0,2,0,0
S00109622,48,24,22,0,0,0,2,0,0
S00109623,31,20,10,0,0,0,0,1,0
S00109624,45,22,20,0,0,0,2,0,1
S00109625,65,22,26,0,10,1,5,0,1
S00109626,72,33,28,0,4,0,6,1,0
S00109627,49,27,19,0,2,0,0,0,1
S00109628,43,32,11,0,0,0,0,0,0
S00109629,51,26,22,0,1,0,1,0,1
S00109630,60,36,23,0,0,0,1,0,0
S00109631,42,27,15,0,0,0,0,0,0
S00109632,41,23,15,1,0,0,1,0,1
S00109633,73,36,34,0,3,0,0,0,0
S00109634,51,36,15,0,0,0,0,0,0
S00109635,50,28,21,0,0,0,1,0,0
S00109636,28,14,12,0,0,1,0,0,1
S00109637,77,37,32,0,0,0,5,2,1
S00109638,57,5,13,0,28,0,8,2,1
S00109639,55,13,21,0,9,1,8,3,0
S00109640,44,4,10,0,12,12,4,1,1
S00109641,47,4,8,0,29,0,5,1,0
S00109642,73,11,15,1,17,13,14,1,1
S00109643,64,11,9,1,30,0,10,3,0
S00109644,57,11,13,0,22,1,10,0,0
S00109645,76,20,17,0,2,15,19,3,0
S00109646,55,27,19,0,1,0,7,1,0
S00109647,61,27,28,0,0,0,3,1,2
S00109648,66,16,40,1,1,1,4,1,2
S00109649,60,33,25,0,0,0,0,2,0
S00109650,60,32,27,0,0,0,1,0,0
S00109651,40,26,14,0,0,0,0,0,0
S00109652,63,7,21,0,32,0,2,0,1
S00109653,64,20,15,1,24,0,2,0,2
S00109654,37,15,13,0,6,0,2,0,1
S00109655,65,29,20,0,1,11,4,0,0
S00109656,41,23,16,0,0,0,1,0,1
S00109657,63,28,25,0,0,0,7,2,1
S00109658,56,34,19,0,0,3,0,0,0
S00109659,62,34,23,0,0,0,3,1,1
S00109660,47,21,23,0,1,1,0,0,1
S00109661,73,2,7,0,60,0,1,3,0
S00109662,50,2,4,0,42,1,1,0,0
S00109663,72,10,14,0,44,0,3,0,1
S00109664,57,27,20,0,5,0,4,0,1
S00109665,64,10,13,0,34,0,7,0,0
S00109666,41,13,19,0,3,0,6,0,0
S00109667,42,15,18,0,1,0,7,1,0
S00109668,61,14,14,0,24,8,0,1,0
S00109669,46,17,15,0,12,0,1,1,0
S00109670,61,23,27,0,8,0,3,0,0
S00109671,46,17,14,1,9,0,1,1,3
S00109672,40,18,15,0,6,0,0,0,1
S00109673,39,11,16,0,7,1,4,0,0
S00109674,52,19,19,0,10,0,2,1,1
S00109675,64,26,25,0,1,0,12,0,0
S00109676,54,21,25,0,2,0,1,4,1
S00109677,56,17,25,0,0,0,12,1,1
S00109678,61,35,18,0,3,0,5,0,0
S00109679,66,30,23,0,10,1,0,1,1
S00109680,52,17,6,0,22,0,4,1,2
S00109681,54,1,0,0,51,1,1,0,0
S00109682,72,17,14,1,0,34,6,0,0
S00109683,30,11,8,0,10,0,1,0,0
S00109684,50,17,24,0,1,0,6,2,0
S00109685,41,18,18,0,3,0,0,2,0
S00109686,54,25,26,0,0,0,2,0,1
S00109687,39,11,25,0,0,0,2,1,0
S00109688,48,19,21,0,0,0,6,1,1
S00109689,69,47,18,0,1,1,1,1,0
S00109690,50,18,30,0,0,0,1,0,1
S00109691,71,20,35,1,3,1,7,1,3
S00109692,64,49,14,0,0,1,0,0,0
S00109693,34,21,13,0,0,0,0,0,0
S00109694,51,16,25,0,6,0,1,3,0
S00109695,45,18,23,0,1,0,2,1,0
S00109696,49,19,22,0,0,0,5,3,0
S00109697,47,15,28,0,0,0,4,0,0
S00109698,41,11,22,0,0,1,7,0,0
S00109699,65,25,37,0,0,1,2,0,0
S00109700,50,9,37,0,0,0,4,0,0
S00109701,60,34,23,0,1,1,1,0,0
S00109702,57,26,22,0,3,0,6,0,0
S00109703,45,20,18,0,5,0,0,1,1
S00109704,45,19,22,0,3,0,1,0,0
S00109705,38,10,14,0,1,0,12,0,1
S00109706,38,11,11,0,12,0,2,0,2
S00109707,54,15,21,0,14,0,2,2,0
S00109708,43,2,10,0,25,3,2,0,1
S00109709,70,23,33,0,10,0,3,0,1
S00109710,43,21,19,0,2,0,1,0,0
S00109711,49,33,14,0,0,0,0,0,2
S00109712,45,7,10,0,22,0,5,1,0
S00109713,44,21,18,0,0,0,3,0,2
S00109714,66,28,32,0,1,0,5,0,0
S00109715,44,9,19,0,11,1,4,0,0
S00109716,58,15,20,0,13,1,8,1,0
S00109717,50,28,21,0,0,0,1,0,0
S00109718,56,35,18,0,1,0,2,0,0
S00109719,50,21,17,0,0,6,4,1,1
S00109720,53,30,18,0,1,0,2,2,0
S00109721,34,14,12,0,2,0,3,3,0
S00109722,44,10,21,0,1,0,9,3,0
S00109723,61,23,33,0,1,1,3,0,0
S00109724,61,14,14,0,23,0,10,0,0
S00109725,46,11,15,0,19,0,1,0,0
S00109726,54,21,18,0,12,0,2,1,0
S00109727,46,8,19,0,12,0,7,0,0
S00109728,47,22,16,0,4,0,2,2,1
S00109729,47,19,14,0,11,2,0,1,0
S00109730,45,5,34,0,3,0,3,0,0
S00109731,45,6,31,0,2,0,3,0,3
S00109732,66,16,28,0,19,0,3,0,0
S00109733,40,8,17,0,9,0,4,0,2
S00109734,67,28,32,0,3,0,2,0,2
S00109735,74,10,35,1,6,0,20,2,0
S00109736,29,13,14,0,0,0,1,1,0
S00109737,78,26,47,0,3,2,0,0,0
S00109738,63,16,19,0,18,1,8,1,0
S00109739,74,13,23,1,31,0,5,1,0
S00109740,27,9,17,0,0,0,1,0,0
S00109741,51,23,27,0,1,0,0,0,0
S00109742,95,24,66,0,0,0,5,0,0
S00109743,44,18,24,0,1,0,1,0,0
S00109744,47,16,27,1,1,0,2,0,0
S00109745,46,16,27,0,0,1,1,1,0
S00109746,39,20,17,0,0,0,2,0,0
S00109747,72,21,16,0,23,5,4,1,2
S00109748,66,14,22,0,23,0,1,3,3
S00109749,30,5,6,0,9,9,0,0,1
S00109750,65,15,24,0,23,0,3,0,0
S00109751,49,16,12,0,16,0,3,1,1
S00109752,63,16,21,0,21,3,2,0,0
S00109753,73,12,9,0,8,39,3,0,2
S00109754,43,11,16,0,7,5,4,0,0
S00109755,46,12,18,0,14,0,0,2,0
S00109756,70,16,23,0,1,28,0,1,1
S00109757,61,20,24,0,1,13,2,1,0
S00109758,48,8,10,0,2,26,1,1,0
S00109759,48,9,9,0,13,13,2,1,1
S00109760,37,9,19,0,1,7,1,0,0
S00109761,38,1,6,0,30,0,1,0,0
S00109762,67,30,27,0,7,2,1,0,0
S00109763,59,15,32,0,8,0,3,0,1
S00109764,63,43,17,0,1,1,0,1,0
S00109765,55,31,21,0,1,1,0,1,0
S00109766,58,19,19,0,16,0,2,2,0
S00109767,50,7,18,1,6,14,3,1,0
S00109768,64,10,13,0,16,22,2,0,1
S00109769,38,8,20,0,8,0,1,1,0
S00109770,69,34,31,0,2,0,2,0,0
S00109771,45,12,25,0,3,0,1,1,3
S00109772,39,13,22,0,0,0,3,1,0
S00109773,55,19,15,0,16,0,4,1,0
S00109774,51,11,24,0,8,0,4,1,3
S00109775,46,6,14,0,16,0,9,0,1
S00109776,77,22,21,0,25,0,8,0,1
S00109777,67,27,26,0,7,1,4,1,1
S00109778,58,20,16,0,21,0,1,0,0
S00109779,39,9,9,0,19,0,2,0,0
S00109780,36,9,9,0,16,0,0,1,1
S00109781,53,13,13,0,17,0,10,0,0
S00109782,43,4,4,0,34,0,1,0,0
S00109783,38,16,10,0,9,0,2,0,1
S00109784,35,8,12,1,10,1,2,1,0
S00109785,70,23,18,0,23,0,3,1,2
S00109786,45,4,5,0,16,10,10,0,0
S00109787,47,10,15,1,13,0,6,1,1
S00109788,60,7,15,0,27,0,10,1,0
S00109789,62,27,18,0,12,1,3,1,0
S00109790,63,25,14,0,19,1,2,0,2
S00109791,38,10,17,0,9,0,2,0,0
S00109792,43,12,16,0,11,1,1,2,0
S00109793,66,17,29,0,18,0,1,1,0
S00109794,73,22,16,0,15,12,6,1,1
S00109795,68,15,28,0,15,2,5,3,0
S00109796,56,11,12,0,19,2,9,2,1
S00109797,51,15,34,0,1,1,0,0,0
S00109798,44,12,7,0,21,0,3,0,1
S00109799,53,27,13,0,8,1,2,0,2
S00109800,52,15,21,0,12,0,3,0,1
S00109801,52,19,10,0,19,1,2,0,1
S00109802,52,14,26,0,7,1,4,0,0
S00109803,63,10,18,0,25,1,6,0,3
S00109804,59,6,19,0,28,1,5,0,0
S00109805,67,6,9,0,33,9,10,0,0
S00109806,44,6,12,0,2,18,3,2,1
S00109807,44,0,0,0,9,29,6,0,0
S00109808,45,13,22,0,0,0,8,1,1
S00109809,68,5,17,0,18,17,6,1,4
S00109810,74,26,27,0,9,0,8,1,3
S00109811,50,5,10,0,15,13,5,2,0
S00109812,70,15,33,0,20,0,2,0,0
S00109813,68,22,20,0,22,0,3,0,1
S00109814,47,14,16,0,13,1,2,1,0
S00109815,46,4,4,0,37,0,0,1,0
S00109816,53,28,25,0,0,0,0,0,0
S00109817,57,21,21,0,11,0,4,0,0
S00109818,61,18,16,0,23,0,3,1,0
S00109819,37,11,21,2,1,0,1,1,0
S00109820,43,7,15,0,20,0,0,1,0
S00109821,52,19,21,0,5,0,5,0,2
S00109822,49,16,20,0,10,0,1,1,1
S00109823,76,19,30,0,20,0,5,2,0
S00109824,64,27,22,0,13,0,1,0,1
S00109825,50,16,19,0,11,0,3,1,0
S00109826,42,4,10,0,24,0,2,0,2
S00109827,44,5,4,0,6,27,2,0,0
S00109828,45,19,18,0,3,3,2,0,0
S00109829,41,3,6,0,25,0,7,0,0
S00109830,67,14,24,0,26,0,2,0,1
S00109831,42,6,11,0,20,1,3,0,1
S00109832,57,10,15,0,28,1,3,0,0
S00109833,56,10,7,0,10,27,2,0,0
S00109834,74,13,27,0,21,0,7,4,2
S00109835,59,5,7,0,43,0,4,0,0
S00109836,69,22,16,0,28,0,1,1,1
S00109837,66,14,18,0,29,0,3,2,0
S00109838,41,10,8,0,12,1,7,2,1
S00109839,40,11,16,1,9,1,1,0,1
S00109840,49,10,16,1,13,1,6,2,0
S00109841,46,12,18,0,4,10,1,1,0
S00109842,41,4,3,0,33,1,0,0,0
S00109843,42,9,16,0,12,0,4,1,0
S00109844,45,20,11,0,9,0,5,0,0
S00109845,47,11,14,0,17,0,2,1,2
S00109846,39,8,8,0,17,0,6,0,0
S00109847,39,8,11,0,16,0,4,0,0
S00109848,59,8,8,0,34,0,9,0,0
S00109849,47,14,9,0,20,1,3,0,0
S00109850,44,8,13,0,21,0,2,0,0
S00109851,57,5,11,0,34,2,4,0,1
S00109852,36,4,13,0,13,4,2,0,0
S00109853,72,24,23,0,19,0,4,1,1
S00109854,66,8,26,0,22,4,6,0,0
S00109855,73,11,28,0,30,0,4,0,0
S00109856,57,11,16,0,27,1,2,0,0
S00109857,76,14,27,1,25,3,6,0,0
S00109858,69,16,24,0,21,4,3,0,1
S00109859,75,17,22,0,32,0,3,0,1
S00109860,36,8,12,0,15,0,1,0,0
S00109861,25,1,10,0,14,0,0,0,0
S00109862,56,1,8,0,43,0,3,1,0
S00109863,43,5,9,0,26,0,2,1,0
S00109864,45,14,15,0,14,0,2,0,0
S00109865,65,18,20,0,23,1,2,1,0
S00109866,70,19,9,1,36,0,3,2,0
S00109867,37,14,9,0,8,5,1,0,0
S00109868,47,11,26,0,3,0,4,2,1
S00109869,59,10,16,0,30,0,2,0,1
S00109870,73,31,23,0,13,4,0,2,0
S00109871,40,2,13,0,21,0,2,1,1
S00109872,39,17,10,0,7,3,0,0,2
S00109873,48,6,11,0,7,23,0,0,1
S00109874,37,9,12,0,10,1,3,0,2
S00109875,52,14,20,0,17,1,0,0,0
S00109876,45,12,11,0,19,0,1,1,1
S00109877,45,9,17,0,12,0,4,3,0
S00109878,63,13,31,0,13,0,4,1,1
S00109879,76,25,33,0,15,1,1,1,0
S00109880,30,9,10,0,9,0,2,0,0
S00109881,54,10,19,0,19,0,5,1,0
S00109882,68,15,19,1,29,0,2,0,2
S00109883,39,14,14,0,6,2,2,0,1
S00109884,56,17,22,0,14,2,1,0,0
S00109885,50,28,17,0,1,0,2,2,0
S00109886,51,11,16,0,15,1,7,1,0
S00109887,39,15,23,0,1,0,0,0,0
S00109888,54,7,11,0,29,1,4,2,0
S00109889,77,13,13,0,15,18,17,1,0
S00109890,46,11,17,0,4,1,13,0,0
S00109891,60,8,18,0,27,0,7,0,0
S00109892,59,22,22,1,6,1,7,0,0
S00109893,52,9,34,0,0,0,9,0,0
S00109894,43,8,15,0,10,0,6,2,2
S00109895,46,6,16,0,5,3,16,0,0
S00109896,52,12,22,0,17,0,0,1,0
S00109897,54,7,31,0,13,0,2,1,0
S00109898,48,17,21,0,2,6,1,1,0
S00109899,45,9,16,0,18,1,0,0,1
S00109900,41,25,13,0,1,0,0,0,2
S00109901,62,28,21,0,8,3,2,0,0
S00109902,56,26,14,0,14,1,0,0,1
S00109903,52,9,18,0,20,0,5,0,0
S00109904,39,11,12,1,12,0,2,1,0
S00109905,51,8,13,0,24,0,5,1,0
S00109906,43,14,16,0,8,1,1,3,0
S00109907,55,9,18,0,16,1,9,0,2
S00109908,53,7,14,0,3,24,5,0,0
S00109909,58,2,1,1,8,46,0,0,0
S00109910,55,4,18,0,2,14,15,2,0
S00109911,35,8,9,0,8,9,1,0,0
S00109912,77,9,9,0,57,0,2,0,0
S00109913,47,7,4,0,35,1,0,0,0
S00109914,36,2,3,0,24,0,7,0,0
S00109915,73,7,15,0,1,0,50,0,0
S00109916,48,3,6,0,0,0,39,0,0
S00109917,59,9,20,0,1,3,26,0,0
S00109918,41,2,1,0,37,0,1,0,0
S00109919,62,1,2,0,32,24,3,0,0
S00109920,46,7,2,0,29,0,8,0,0
S00109921,44,15,12,0,8,0,8,0,1
S00109922,35,9,9,0,6,0,11,0,0
S00109923,53,16,13,0,7,0,17,0,0
S00109924,51,12,13,0,2,2,21,1,0
S00109925,71,4,3,0,46,14,3,0,1
S00109926,49,6,3,0,39,0,1,0,0
S00109927,30,4,4,0,18,2,2,0,0
S00109928,28,1,2,0,19,0,6,0,0
S00109929,46,4,1,0,38,1,1,1,0
S00109930,43,4,0,0,35,2,2,0,0
S00109931,43,7,3,0,30,0,2,1,0
S00109932,76,35,31,0,1,0,8,0,1
S00109933,45,25,16,0,0,1,2,1,0
S00109934,42,22,12,0,5,0,2,0,1
S00109935,66,24,30,0,2,0,7,2,1
S00109936,66,33,27,0,2,0,3,1,0
S00109937,44,8,9,0,21,0,5,0,1
S00109938,49,7,10,0,21,0,9,0,2
S00109939,65,54,7,0,0,0,1,0,3
S00109940,51,26,18,0,5,0,1,1,0
S00109941,45,12,16,0,1,0,12,4,0
S00109942,34,15,15,0,0,0,4,0,0
S00109943,61,18,31,0,1,0,9,2,0
S00109944,36,16,19,0,0,0,1,0,0
S00109945,48,18,27,0,0,0,3,0,0
S00109946,43,32,11,0,0,0,0,0,0
S00109947,46,14,4,4,1,12,7,3,1
S00109948,33,4,4,0,1,23,1,0,0
S00109949,53,14,21,1,2,1,11,1,2
S00109950,58,2,11,0,5,14,25,1,0
S00109951,56,27,22,0,0,0,6,0,1
S00109952,37,9,15,0,2,0,8,2,1
S00109953,44,10,23,1,0,0,9,0,1
S00109954,35,1,5,1,0,23,5,0,0
S00109955,38,3,12,1,0,9,12,1,0
S00109956,58,6,24,0,0,2,25,1,0
S00109957,45,9,6,0,26,0,3,0,1
S00109958,30,2,10,0,12,0,5,0,1
S00109959,68,26,28,0,6,0,6,0,2
S00109960,51,11,10,0,22,2,6,0,0
S00109961,31,11,8,1,2,0,9,0,0
S00109962,49,22,15,0,1,2,5,1,3
S00109963,64,32,22,0,4,0,5,0,1
S00109964,48,11,18,0,5,0,14,0,0
S00109965,59,17,16,0,3,8,10,2,3
S00109966,42,10,2,0,28,1,1,0,0
S00109967,39,6,4,0,29,0,0,0,0
S00109968,77,8,16,2,7,22,19,1,2
S00109969,38,2,24,0,1,1,10,0,0
S00109970,50,3,37,0,2,1,7,0,0
S00109971,59,12,21,0,20,0,5,1,0
S00109972,64,14,15,0,26,1,8,0,0
S00109973,58,16,13,0,26,0,1,2,0
S00109974,64,9,13,0,25,11,3,2,1
S00109975,36,9,9,0,15,0,3,0,0
S00109976,58,11,12,0,28,2,4,0,1
S00109977,47,17,14,0,9,1,4,2,0
S00109978,75,15,22,0,29,0,7,1,1
S00109979,56,7,20,0,16,0,10,0,3
S00109980,49,7,8,0,24,1,8,0,1
S00109981,38,3,14,0,15,1,4,1,0
S00109982,29,1,4,0,20,0,3,1,0
S00109983,44,10,11,0,3,16,3,1,0
S00109984,69,3,0,1,52,9,4,0,0
S00109985,77,10,32,0,2,1,31,1,0
S00109986,40,1,13,0,19,0,7,0,0
S00109987,53,5,17,0,2,6,21,1,1
S00109988,43,5,9,0,21,0,6,2,0
S00109989,64,26,15,0,0,1,19,1,2
S00109990,60,21,35,0,0,0,4,0,0
S00109991,47,12,19,0,11,0,4,0,1
S00109992,43,27,14,0,0,0,0,1,1
S00109993,33,13,17,0,1,0,1,0,1
S00109994,35,23,8,0,3,1,0,0,0
S00109995,49,11,11,0,20,0,6,0,1
S00109996,54,30,23,0,0,0,1,0,0
S00109997,34,9,8,0,6,1,7,1,2
S00109998,73,8,11,0,26,21,6,1,0
S00109999,35,3,4,0,19,0,8,1,0
S00110000,69,5,23,0,21,3,15,2,0
S00110001,48,12,6,0,23,1,5,1,0
S00110002,40,5,5,0,20,1,9,0,0
S00110003,61,20,16,0,19,0,4,0,2
S00110004,42,7,4,1,24,0,3,2,1
S00110005,36,3,10,0,21,0,2,0,0
